przystanek,nr_przystanku,linia,kierunek,dzień,godzina przyjazdu
Szwedzka,02,190,CH Marki,2024-07-02,01:20:12
os.Panieńska,02,162,Pl Hallera,2024-07-02,03:23:59
Sierakowskiego,02,162,Pl Hallera,2024-07-02,03:23:43
Ząbkowska,06,162,Pl Hallera,2024-07-02,03:22:10
Szwedzka,02,190,CH Marki,2024-07-02,03:24:16
rondo Żaba,02,500,Bródno Podgrodzie,2024-07-02,03:27:07
Rogowska,02,500,Bródno Podgrodzie,2024-07-02,03:27:19
Szwedzka,02,190,CH Marki,2024-07-02,01:20:12
rondo Żaba,02,500,Bródno Podgrodzie,2024-07-02,03:49:19
Rogowska,02,500,Bródno Podgrodzie,2024-07-02,03:49:19
Szwedzka,01,190,Os. Górczewska,2024-07-02,03:59:39
Szwedzka,01,190,Os. Górczewska,2024-07-02,04:04:21
Rzeszotarskiej,01,190,Os. Górczewska,2024-07-02,04:05:10
Dw.Wileński,03,190,Os. Górczewska,2024-07-02,04:07:14
Park Praski,01,190,Os. Górczewska,2024-07-02,04:08:03
Stare Miasto,02,190,Os. Górczewska,2024-07-02,04:09:07
Metro Ratusz-Arsenał,10,190,Os. Górczewska,2024-07-02,04:10:25
Kino Femina,02,190,Os. Górczewska,2024-07-02,04:12:00
Wola-Ratusz,02,190,Os. Górczewska,2024-07-02,04:13:03
Szwedzka,02,190,CH Marki,2024-07-02,04:05:47
most Grota-Roweckiego,02,114,Bródno Podgrodzie,2024-07-02,04:08:08
Żerań FSO,04,114,Bródno Podgrodzie,2024-07-02,04:09:04
PKP Toruńska,02,114,Bródno Podgrodzie,2024-07-02,04:09:59
Bazyliańska,01,114,Bródno Podgrodzie,2024-07-02,04:09:59
Szwedzka,02,190,CH Marki,2024-07-02,03:21:54
Przyczółek Grochowski,01,523,Stare Bemowo,2024-07-02,04:20:14
Międzynarodowa,01,523,Stare Bemowo,2024-07-02,04:21:49
Saska,01,523,Stare Bemowo,2024-07-02,04:23:05
Rozbrat,02,523,Stare Bemowo,2024-07-02,04:25:58
pl.Na Rozdrożu,06,523,Stare Bemowo,2024-07-02,04:27:03
Marszałkowska,02,523,Stare Bemowo,2024-07-02,04:28:02
Metro Politechnika,02,523,Stare Bemowo,2024-07-02,04:29:36
rondo Żaba,02,500,Bródno Podgrodzie,2024-07-02,04:20:51
Rogowska,02,500,Bródno Podgrodzie,2024-07-02,04:20:21
Szwedzka,02,190,CH Marki,2024-07-02,04:23:50
Szwedzka,01,190,Os. Górczewska,2024-07-02,04:24:17
Rzeszotarskiej,01,190,Os. Górczewska,2024-07-02,04:24:57
Dw.Wileński,03,190,Os. Górczewska,2024-07-02,04:26:42
Park Praski,01,190,Os. Górczewska,2024-07-02,04:27:07
Stare Miasto,02,190,Os. Górczewska,2024-07-02,04:28:18
Metro Ratusz-Arsenał,10,190,Os. Górczewska,2024-07-02,04:29:26
Kino Femina,02,190,Os. Górczewska,2024-07-02,04:31:07
Wola-Ratusz,02,190,Os. Górczewska,2024-07-02,04:32:42
Ząbkowska,03,26,Wiatraczna,2024-07-02,04:24:22
Kijowska,03,26,Wiatraczna,2024-07-02,04:25:07
Bora-Komorowskiego,01,148,Lotnisko Chopina,2024-07-02,04:28:43
Horbaczewskiego,01,148,Lotnisko Chopina,2024-07-02,04:29:41
Gocław,09,148,Lotnisko Chopina,2024-07-02,04:31:07
most Siekierkowski,03,148,Lotnisko Chopina,2024-07-02,04:32:19
Siekierki-Sanktuarium,01,148,Lotnisko Chopina,2024-07-02,04:34:23
Małe Siekierki,01,148,Lotnisko Chopina,2024-07-02,04:37:31
Ogrody Działkowe Czerniaków,01,148,Lotnisko Chopina,2024-07-02,04:38:24
Szwedzka,02,190,CH Marki,2024-07-02,03:41:51
Berezyńska,01,9,P+R Al. Krakowska,2024-07-02,04:29:31
rondo Waszyngtona,05,9,P+R Al. Krakowska,2024-07-02,04:29:46
most Poniatowskiego,04,9,P+R Al. Krakowska,2024-07-02,04:31:52
Muzeum Narodowe,06,9,P+R Al. Krakowska,2024-07-02,04:34:44
Krucza,06,9,P+R Al. Krakowska,2024-07-02,04:36:09
Centrum,10,9,P+R Al. Krakowska,2024-07-02,04:37:00
rondo Żaba,02,500,Bródno Podgrodzie,2024-07-02,04:31:07
