przystanek;nr_przystanku;linia;dzień;godzina docelowa
6099;01;114;2024-06-30;05:18:00
6099;01;114;2024-06-30;05:48:00
6099;01;114;2024-06-30;06:18:00
6099;01;114;2024-06-30;06:48:00
6099;01;114;2024-06-30;07:18:00
6099;01;114;2024-06-30;07:48:00
6099;01;114;2024-06-30;08:11:00
6099;01;114;2024-06-30;08:31:00
6099;01;114;2024-06-30;08:51:00
6099;01;114;2024-06-30;09:11:00
6099;01;114;2024-06-30;09:31:00
6099;01;114;2024-06-30;09:51:00
6099;01;114;2024-06-30;10:11:00
6099;01;114;2024-06-30;10:31:00
6099;01;114;2024-06-30;10:51:00
6099;01;114;2024-06-30;11:11:00
6099;01;114;2024-06-30;11:31:00
6099;01;114;2024-06-30;11:51:00
6099;01;114;2024-06-30;12:11:00
6099;01;114;2024-06-30;12:31:00
6099;01;114;2024-06-30;12:51:00
6099;01;114;2024-06-30;13:11:00
6099;01;114;2024-06-30;13:31:00
6099;01;114;2024-06-30;13:51:00
6099;01;114;2024-06-30;14:11:00
6099;01;114;2024-06-30;14:31:00
6099;01;114;2024-06-30;14:51:00
6099;01;114;2024-06-30;15:11:00
6099;01;114;2024-06-30;15:31:00
6099;01;114;2024-06-30;15:51:00
6099;01;114;2024-06-30;16:11:00
6099;01;114;2024-06-30;16:31:00
6099;01;114;2024-06-30;16:51:00
6099;01;114;2024-06-30;17:11:00
6099;01;114;2024-06-30;17:31:00
6099;01;114;2024-06-30;17:51:00
6099;01;114;2024-06-30;18:11:00
6099;01;114;2024-06-30;18:31:00
6099;01;114;2024-06-30;18:51:00
6099;01;114;2024-06-30;19:11:00
6099;01;114;2024-06-30;19:31:00
6099;01;114;2024-06-30;19:51:00
6099;01;114;2024-06-30;20:10:00
6099;01;114;2024-06-30;20:30:00
6099;01;114;2024-06-30;20:50:00
6099;01;114;2024-06-30;21:10:00
6099;01;114;2024-06-30;21:30:00
6099;01;114;2024-06-30;21:50:00
6099;01;114;2024-06-30;22:18:00
6099;01;114;2024-06-30;22:48:00
6099;01;114;2024-06-30;23:18:00
6099;01;114;2024-06-30;23:48:00
6003;06;114;2024-06-30;04:47:00
6003;06;114;2024-06-30;05:17:00
6003;06;114;2024-06-30;05:47:00
6003;06;114;2024-06-30;06:17:00
6003;06;114;2024-06-30;06:47:00
6003;06;114;2024-06-30;07:06:00
6003;06;114;2024-06-30;07:27:00
6003;06;114;2024-06-30;07:47:00
6003;06;114;2024-06-30;08:07:00
6003;06;114;2024-06-30;08:27:00
6003;06;114;2024-06-30;08:47:00
6003;06;114;2024-06-30;09:07:00
6003;06;114;2024-06-30;09:27:00
6003;06;114;2024-06-30;09:47:00
6003;06;114;2024-06-30;10:07:00
6003;06;114;2024-06-30;10:27:00
6003;06;114;2024-06-30;10:47:00
6003;06;114;2024-06-30;11:07:00
6003;06;114;2024-06-30;11:27:00
6003;06;114;2024-06-30;11:47:00
6003;06;114;2024-06-30;12:07:00
6003;06;114;2024-06-30;12:27:00
6003;06;114;2024-06-30;12:47:00
6003;06;114;2024-06-30;13:07:00
6003;06;114;2024-06-30;13:27:00
6003;06;114;2024-06-30;13:47:00
6003;06;114;2024-06-30;14:07:00
6003;06;114;2024-06-30;14:27:00
6003;06;114;2024-06-30;14:47:00
6003;06;114;2024-06-30;15:07:00
6003;06;114;2024-06-30;15:27:00
6003;06;114;2024-06-30;15:47:00
6003;06;114;2024-06-30;16:07:00
6003;06;114;2024-06-30;16:27:00
6003;06;114;2024-06-30;16:47:00
6003;06;114;2024-06-30;17:07:00
6003;06;114;2024-06-30;17:27:00
6003;06;114;2024-06-30;17:47:00
6003;06;114;2024-06-30;18:07:00
6003;06;114;2024-06-30;18:27:00
6003;06;114;2024-06-30;18:47:00
6003;06;114;2024-06-30;19:07:00
6003;06;114;2024-06-30;19:27:00
6003;06;114;2024-06-30;19:47:00
6003;06;114;2024-06-30;20:07:00
6003;06;114;2024-06-30;20:27:00
6003;06;114;2024-06-30;20:47:00
6003;06;114;2024-06-30;21:07:00
6003;06;114;2024-06-30;21:27:00
6003;06;114;2024-06-30;21:47:00
6003;06;114;2024-06-30;22:07:00
6003;06;114;2024-06-30;22:27:00
6003;06;114;2024-06-30;22:47:00
6003;06;114;2024-06-30;23:17:00
1159;01;114;2024-06-30;04:38:00
1159;01;114;2024-06-30;05:08:00
1159;01;114;2024-06-30;05:38:00
1159;01;114;2024-06-30;06:08:00
1159;01;114;2024-06-30;06:38:00
1159;01;114;2024-06-30;06:57:00
1159;01;114;2024-06-30;07:18:00
1159;01;114;2024-06-30;07:38:00
1159;01;114;2024-06-30;07:57:00
1159;01;114;2024-06-30;08:17:00
1159;01;114;2024-06-30;08:37:00
1159;01;114;2024-06-30;08:57:00
1159;01;114;2024-06-30;09:17:00
1159;01;114;2024-06-30;09:37:00
1159;01;114;2024-06-30;09:57:00
1159;01;114;2024-06-30;10:17:00
1159;01;114;2024-06-30;10:37:00
1159;01;114;2024-06-30;10:57:00
1159;01;114;2024-06-30;11:17:00
1159;01;114;2024-06-30;11:37:00
1159;01;114;2024-06-30;11:57:00
1159;01;114;2024-06-30;12:17:00
1159;01;114;2024-06-30;12:37:00
1159;01;114;2024-06-30;12:57:00
1159;01;114;2024-06-30;13:17:00
1159;01;114;2024-06-30;13:37:00
1159;01;114;2024-06-30;13:57:00
1159;01;114;2024-06-30;14:17:00
1159;01;114;2024-06-30;14:37:00
1159;01;114;2024-06-30;14:57:00
1159;01;114;2024-06-30;15:17:00
1159;01;114;2024-06-30;15:37:00
1159;01;114;2024-06-30;15:57:00
1159;01;114;2024-06-30;16:17:00
1159;01;114;2024-06-30;16:37:00
1159;01;114;2024-06-30;16:57:00
1159;01;114;2024-06-30;17:17:00
1159;01;114;2024-06-30;17:37:00
1159;01;114;2024-06-30;17:57:00
1159;01;114;2024-06-30;18:17:00
1159;01;114;2024-06-30;18:37:00
1159;01;114;2024-06-30;18:57:00
1159;01;114;2024-06-30;19:17:00
1159;01;114;2024-06-30;19:37:00
1159;01;114;2024-06-30;19:58:00
1159;01;114;2024-06-30;20:18:00
1159;01;114;2024-06-30;20:38:00
1159;01;114;2024-06-30;20:58:00
1159;01;114;2024-06-30;21:18:00
1159;01;114;2024-06-30;21:38:00
1159;01;114;2024-06-30;21:58:00
1159;01;114;2024-06-30;22:18:00
1159;01;114;2024-06-30;22:38:00
1159;01;114;2024-06-30;23:08:00
6083;01;114;2024-06-30;04:42:00
6083;01;114;2024-06-30;05:12:00
6083;01;114;2024-06-30;05:42:00
6083;01;114;2024-06-30;06:12:00
6083;01;114;2024-06-30;06:42:00
6083;01;114;2024-06-30;07:01:00
6083;01;114;2024-06-30;07:22:00
6083;01;114;2024-06-30;07:42:00
6083;01;114;2024-06-30;08:01:00
6083;01;114;2024-06-30;08:21:00
6083;01;114;2024-06-30;08:41:00
6083;01;114;2024-06-30;09:01:00
6083;01;114;2024-06-30;09:21:00
6083;01;114;2024-06-30;09:41:00
6083;01;114;2024-06-30;10:01:00
6083;01;114;2024-06-30;10:21:00
6083;01;114;2024-06-30;10:41:00
6083;01;114;2024-06-30;11:01:00
6083;01;114;2024-06-30;11:21:00
6083;01;114;2024-06-30;11:41:00
6083;01;114;2024-06-30;12:01:00
6083;01;114;2024-06-30;12:21:00
6083;01;114;2024-06-30;12:41:00
6083;01;114;2024-06-30;13:01:00
6083;01;114;2024-06-30;13:21:00
6083;01;114;2024-06-30;13:41:00
6083;01;114;2024-06-30;14:01:00
6083;01;114;2024-06-30;14:21:00
6083;01;114;2024-06-30;14:41:00
6083;01;114;2024-06-30;15:01:00
6083;01;114;2024-06-30;15:21:00
6083;01;114;2024-06-30;15:41:00
6083;01;114;2024-06-30;16:01:00
6083;01;114;2024-06-30;16:21:00
6083;01;114;2024-06-30;16:41:00
6083;01;114;2024-06-30;17:01:00
6083;01;114;2024-06-30;17:21:00
6083;01;114;2024-06-30;17:41:00
6083;01;114;2024-06-30;18:01:00
6083;01;114;2024-06-30;18:21:00
6083;01;114;2024-06-30;18:41:00
6083;01;114;2024-06-30;19:01:00
6083;01;114;2024-06-30;19:21:00
6083;01;114;2024-06-30;19:41:00
6083;01;114;2024-06-30;20:02:00
6083;01;114;2024-06-30;20:22:00
6083;01;114;2024-06-30;20:42:00
6083;01;114;2024-06-30;21:02:00
6083;01;114;2024-06-30;21:22:00
6083;01;114;2024-06-30;21:42:00
6083;01;114;2024-06-30;22:02:00
6083;01;114;2024-06-30;22:22:00
6083;01;114;2024-06-30;22:42:00
6083;01;114;2024-06-30;23:12:00
6099;02;114;2024-06-30;04:44:00
6099;02;114;2024-06-30;05:14:00
6099;02;114;2024-06-30;05:44:00
6099;02;114;2024-06-30;06:14:00
6099;02;114;2024-06-30;06:44:00
6099;02;114;2024-06-30;07:03:00
6099;02;114;2024-06-30;07:24:00
6099;02;114;2024-06-30;07:44:00
6099;02;114;2024-06-30;08:04:00
6099;02;114;2024-06-30;08:24:00
6099;02;114;2024-06-30;08:44:00
6099;02;114;2024-06-30;09:04:00
6099;02;114;2024-06-30;09:24:00
6099;02;114;2024-06-30;09:44:00
6099;02;114;2024-06-30;10:04:00
6099;02;114;2024-06-30;10:24:00
6099;02;114;2024-06-30;10:44:00
6099;02;114;2024-06-30;11:04:00
6099;02;114;2024-06-30;11:24:00
6099;02;114;2024-06-30;11:44:00
6099;02;114;2024-06-30;12:04:00
6099;02;114;2024-06-30;12:24:00
6099;02;114;2024-06-30;12:44:00
6099;02;114;2024-06-30;13:04:00
6099;02;114;2024-06-30;13:24:00
6099;02;114;2024-06-30;13:44:00
6099;02;114;2024-06-30;14:04:00
6099;02;114;2024-06-30;14:24:00
6099;02;114;2024-06-30;14:44:00
6099;02;114;2024-06-30;15:04:00
6099;02;114;2024-06-30;15:24:00
6099;02;114;2024-06-30;15:44:00
6099;02;114;2024-06-30;16:04:00
6099;02;114;2024-06-30;16:24:00
6099;02;114;2024-06-30;16:44:00
6099;02;114;2024-06-30;17:04:00
6099;02;114;2024-06-30;17:24:00
6099;02;114;2024-06-30;17:44:00
6099;02;114;2024-06-30;18:04:00
6099;02;114;2024-06-30;18:24:00
6099;02;114;2024-06-30;18:44:00
6099;02;114;2024-06-30;19:04:00
6099;02;114;2024-06-30;19:24:00
6099;02;114;2024-06-30;19:44:00
6099;02;114;2024-06-30;20:04:00
6099;02;114;2024-06-30;20:24:00
6099;02;114;2024-06-30;20:44:00
6099;02;114;2024-06-30;21:04:00
6099;02;114;2024-06-30;21:24:00
6099;02;114;2024-06-30;21:44:00
6099;02;114;2024-06-30;22:04:00
6099;02;114;2024-06-30;22:24:00
6099;02;114;2024-06-30;22:44:00
6099;02;114;2024-06-30;23:14:00
6098;02;114;2024-06-30;04:48:00
6098;02;114;2024-06-30;05:18:00
6098;02;114;2024-06-30;05:48:00
6098;02;114;2024-06-30;06:18:00
6098;02;114;2024-06-30;06:48:00
6098;02;114;2024-06-30;07:07:00
6098;02;114;2024-06-30;07:28:00
6098;02;114;2024-06-30;07:48:00
6098;02;114;2024-06-30;08:08:00
6098;02;114;2024-06-30;08:28:00
6098;02;114;2024-06-30;08:48:00
6098;02;114;2024-06-30;09:08:00
6098;02;114;2024-06-30;09:28:00
6098;02;114;2024-06-30;09:48:00
6098;02;114;2024-06-30;10:08:00
6098;02;114;2024-06-30;10:28:00
6098;02;114;2024-06-30;10:48:00
6098;02;114;2024-06-30;11:08:00
6098;02;114;2024-06-30;11:28:00
6098;02;114;2024-06-30;11:48:00
6098;02;114;2024-06-30;12:08:00
