przystanek,nr_przystanku,linia,kierunek,dzień,godzina przyjazdu
Szwedzka,02,190,CH Marki,2024-06-29,23:36:32
Szwedzka,01,190,Os. Górczewska,2024-06-29,01:01:47
Szwedzka,02,190,CH Marki,2024-06-29,02:03:43
Szwedzka,02,190,CH Marki,2024-06-29,23:36:32
Szwedzka,01,190,Os. Górczewska,2024-06-29,01:01:47
Szwedzka,02,190,CH Marki,2024-06-29,02:03:43
Szwedzka,02,190,CH Marki,2024-06-29,23:36:32
Szwedzka,01,190,Os. Górczewska,2024-06-29,01:01:47
Szwedzka,02,190,CH Marki,2024-06-29,02:03:43
Szwedzka,02,190,CH Marki,2024-06-29,23:36:32
Szwedzka,01,190,Os. Górczewska,2024-06-29,01:01:47
Szwedzka,02,190,CH Marki,2024-06-29,02:03:43
Szwedzka,02,190,CH Marki,2024-06-29,23:36:32
Szwedzka,01,190,Os. Górczewska,2024-06-29,01:01:47
Szwedzka,02,190,CH Marki,2024-06-29,02:03:43
Szwedzka,02,190,CH Marki,2024-06-29,23:36:32
Szwedzka,02,190,CH Marki,2024-06-29,02:03:43
rondo Żaba,02,500,Bródno Podgrodzie,2024-06-29,04:14:42
Rogowska,02,500,Bródno Podgrodzie,2024-06-29,04:14:08
Kijowska,03,26,Wiatraczna,2024-06-29,04:21:51
Ząbkowska,03,26,Wiatraczna,2024-06-29,04:22:53
Kijowska,03,26,Wiatraczna,2024-06-29,04:23:13
Szwedzka,02,190,CH Marki,2024-06-29,23:36:32
Szwedzka,02,190,CH Marki,2024-06-29,02:03:43
Bora-Komorowskiego,01,148,Lotnisko Chopina,2024-06-29,04:28:55
Horbaczewskiego,01,148,Lotnisko Chopina,2024-06-29,04:29:56
Gocław,09,148,Lotnisko Chopina,2024-06-29,04:31:11
most Siekierkowski,03,148,Lotnisko Chopina,2024-06-29,04:32:09
Siekierki-Sanktuarium,01,148,Lotnisko Chopina,2024-06-29,04:34:56
Małe Siekierki,01,148,Lotnisko Chopina,2024-06-29,04:37:34
Ogrody Działkowe Czerniaków,01,148,Lotnisko Chopina,2024-06-29,04:38:44
Wola-Ratusz,03,26,Wiatraczna,2024-06-29,04:28:46
Kino Femina,05,26,Wiatraczna,2024-06-29,04:30:02
Metro Ratusz-Arsenał,09,26,Wiatraczna,2024-06-29,04:33:09
Stare Miasto,01,26,Wiatraczna,2024-06-29,04:34:44
Park Praski,02,26,Wiatraczna,2024-06-29,04:37:16
Dw.Wileński,07,26,Wiatraczna,2024-06-29,04:40:23
Ząbkowska,03,26,Wiatraczna,2024-06-29,04:41:43
Kijowska,03,26,Wiatraczna,2024-06-29,04:43:14
Berezyńska,01,9,P+R Al. Krakowska,2024-06-29,04:30:52
rondo Waszyngtona,05,9,P+R Al. Krakowska,2024-06-29,04:31:32
most Poniatowskiego,04,9,P+R Al. Krakowska,2024-06-29,04:33:38
Muzeum Narodowe,06,9,P+R Al. Krakowska,2024-06-29,04:36:10
Krucza,06,9,P+R Al. Krakowska,2024-06-29,04:37:05
Centrum,10,9,P+R Al. Krakowska,2024-06-29,04:39:16
Pelcowizna,06,114,UKSW,2024-06-29,04:38:05
PKP Toruńska,01,114,UKSW,2024-06-29,04:39:05
Żerań FSO,03,114,UKSW,2024-06-29,04:40:05
most Grota-Roweckiego,01,114,UKSW,2024-06-29,04:42:05
Czarnieckiego,02,114,UKSW,2024-06-29,04:44:04
pl.Wilsona,06,114,UKSW,2024-06-29,04:48:35
Suzina,02,114,UKSW,2024-06-29,04:49:05
Szwedzka,01,190,Os. Górczewska,2024-06-29,04:37:08
Rzeszotarskiej,01,190,Os. Górczewska,2024-06-29,04:38:41
Dw.Wileński,03,190,Os. Górczewska,2024-06-29,04:40:23
Park Praski,01,190,Os. Górczewska,2024-06-29,04:41:52
Stare Miasto,02,190,Os. Górczewska,2024-06-29,04:43:45
Metro Ratusz-Arsenał,10,190,Os. Górczewska,2024-06-29,04:45:24
Kino Femina,02,190,Os. Górczewska,2024-06-29,04:47:25
Wola-Ratusz,02,190,Os. Górczewska,2024-06-29,04:49:12
pl.Hallera,04,6,Metro Młociny,2024-06-29,04:39:54
rondo Starzyńskiego,03,6,Metro Młociny,2024-06-29,04:41:47
Wybrzeże Helskie,03,6,Metro Młociny,2024-06-29,04:42:56
most Gdański,04,6,Metro Młociny,2024-06-29,04:44:17
Park Traugutta,04,6,Metro Młociny,2024-06-29,04:45:38
Dw.Gdański,06,6,Metro Młociny,2024-06-29,04:48:10
rondo Żaba,02,500,Bródno Podgrodzie,2024-06-29,04:39:29
Rogowska,02,500,Bródno Podgrodzie,2024-06-29,04:40:28
Kołowa,02,500,Bródno Podgrodzie,2024-06-29,04:41:03
Kołowa,01,500,rondo Radosława,2024-06-29,04:41:18
Rogowska,01,500,rondo Radosława,2024-06-29,04:41:52
rondo Żaba,01,500,rondo Radosława,2024-06-29,04:42:22
rondo Starzyńskiego,01,500,rondo Radosława,2024-06-29,04:45:43
Dw.Gdański,04,500,rondo Radosława,2024-06-29,04:48:16
Baseny Inflancka,02,500,rondo Radosława,2024-06-29,04:50:02
"rondo ""Radosława""",04,500,rondo Radosława,2024-06-29,04:58:13
most Grota-Roweckiego,02,114,Bródno Podgrodzie,2024-06-29,04:43:18
Żerań FSO,04,114,Bródno Podgrodzie,2024-06-29,04:44:18
PKP Toruńska,02,114,Bródno Podgrodzie,2024-06-29,04:45:08
Bazyliańska,01,114,Bródno Podgrodzie,2024-06-29,04:45:18
Szwedzka,02,190,CH Marki,2024-06-29,23:36:32
Szwedzka,02,190,CH Marki,2024-06-29,02:03:43
Park Skaryszewski,03,9,P+R Al. Krakowska,2024-06-29,04:44:59
Berezyńska,01,9,P+R Al. Krakowska,2024-06-29,04:46:47
rondo Waszyngtona,05,9,P+R Al. Krakowska,2024-06-29,04:48:08
most Poniatowskiego,04,9,P+R Al. Krakowska,2024-06-29,04:49:55
Muzeum Narodowe,06,9,P+R Al. Krakowska,2024-06-29,04:52:45
Krucza,06,9,P+R Al. Krakowska,2024-06-29,04:54:29
Centrum,10,9,P+R Al. Krakowska,2024-06-29,04:55:24
Dw.Wileński,01,162,EC Siekierki,2024-06-29,04:45:42
Sierakowskiego,01,162,EC Siekierki,2024-06-29,04:47:42
os.Panieńska,01,162,EC Siekierki,2024-06-29,04:48:17
most Świętokrzyski,03,162,EC Siekierki,2024-06-29,04:50:14
Metro Centrum Nauki Kopernik,04,162,EC Siekierki,2024-06-29,04:51:35
Topiel,03,162,EC Siekierki,2024-06-29,04:53:24
PKP Powiśle,03,162,EC Siekierki,2024-06-29,04:54:11
Centrum,09,9,Gocławek,2024-06-29,04:48:27
Krucza,05,9,Gocławek,2024-06-29,04:49:28
Muzeum Narodowe,05,9,Gocławek,2024-06-29,04:50:08
most Poniatowskiego,03,9,Gocławek,2024-06-29,04:53:30
rondo Waszyngtona,06,9,Gocławek,2024-06-29,04:55:21
Berezyńska,02,9,Gocławek,2024-06-29,04:56:16
Park Skaryszewski,04,9,Gocławek,2024-06-29,04:57:27
Wola-Ratusz,03,26,Wiatraczna,2024-06-29,04:50:10
Kino Femina,05,26,Wiatraczna,2024-06-29,04:52:31
Metro Ratusz-Arsenał,09,26,Wiatraczna,2024-06-29,04:54:37
Stare Miasto,01,26,Wiatraczna,2024-06-29,04:56:13
Park Praski,02,26,Wiatraczna,2024-06-29,04:58:09
Dw.Wileński,07,26,Wiatraczna,2024-06-29,04:59:39
Ząbkowska,03,26,Wiatraczna,2024-06-29,05:01:16
Kijowska,03,26,Wiatraczna,2024-06-29,05:02:36
Przyczółek Grochowski,01,523,Stare Bemowo,2024-06-29,04:50:27
Międzynarodowa,01,523,Stare Bemowo,2024-06-29,04:52:01
Saska,01,523,Stare Bemowo,2024-06-29,04:53:20
Rozbrat,02,523,Stare Bemowo,2024-06-29,04:55:12
pl.Na Rozdrożu,06,523,Stare Bemowo,2024-06-29,04:56:47
Marszałkowska,02,523,Stare Bemowo,2024-06-29,04:58:09
Metro Politechnika,02,523,Stare Bemowo,2024-06-29,04:59:12
Kijowska,04,26,Metro Młociny,2024-06-29,04:52:29
Ząbkowska,04,26,Metro Młociny,2024-06-29,04:53:25
Dw.Wileński,03,26,Metro Młociny,2024-06-29,04:55:21
Park Praski,01,26,Metro Młociny,2024-06-29,04:56:16
Stare Miasto,02,26,Metro Młociny,2024-06-29,04:59:08
Metro Ratusz-Arsenał,10,26,Metro Młociny,2024-06-29,05:01:09
Kino Femina,06,26,Metro Młociny,2024-06-29,05:03:35
Wola-Ratusz,04,26,Metro Młociny,2024-06-29,05:05:21
Dw.Gdański,05,6,Gocławek,2024-06-29,04:52:07
Park Traugutta,05,6,Gocławek,2024-06-29,04:54:54
most Gdański,03,6,Gocławek,2024-06-29,04:55:54
Wybrzeże Helskie,04,6,Gocławek,2024-06-29,04:57:15
rondo Starzyńskiego,04,6,Gocławek,2024-06-29,04:58:05
pl.Hallera,03,6,Gocławek,2024-06-29,05:00:16
Grenadierów,02,521,Falenica,2024-06-29,04:47:19
Wiatraczna,22,521,Falenica,2024-06-29,04:53:38
Wola-Ratusz,01,190,CH Marki,2024-06-29,04:54:12
Kino Femina,01,190,CH Marki,2024-06-29,04:55:37
Metro Ratusz-Arsenał,09,190,CH Marki,2024-06-29,04:57:33
Stare Miasto,01,190,CH Marki,2024-06-29,04:59:41
Park Praski,02,190,CH Marki,2024-06-29,05:01:11
Dw.Wileński,04,190,CH Marki,2024-06-29,05:02:07
Rzeszotarskiej,02,190,CH Marki,2024-06-29,05:03:04
Szwedzka,02,190,CH Marki,2024-06-29,05:03:58
PKP Powiśle,04,162,Pl Hallera,2024-06-29,04:55:04
Topiel,01,162,Pl Hallera,2024-06-29,04:56:04
Metro Centrum Nauki Kopernik,03,162,Pl Hallera,2024-06-29,04:57:18
most Świętokrzyski,02,162,Pl Hallera,2024-06-29,04:59:24
os.Panieńska,02,162,Pl Hallera,2024-06-29,05:00:24
Sierakowskiego,02,162,Pl Hallera,2024-06-29,05:01:24
