przystanek,nr_przystanku,linia,kierunek,dzień,godzina przyjazdu
Wola-Ratusz,02,190,Os. Górczewska,2024-07-05,04:00:09
Szwedzka,02,190,CH Marki,2024-07-05,04:07:29
Przyczółek Grochowski,01,523,Stare Bemowo,2024-07-05,04:19:42
Międzynarodowa,01,523,Stare Bemowo,2024-07-05,04:21:13
Saska,01,523,Stare Bemowo,2024-07-05,04:22:39
Rozbrat,02,523,Stare Bemowo,2024-07-05,04:25:08
pl.Na Rozdrożu,06,523,Stare Bemowo,2024-07-05,04:26:15
Marszałkowska,02,523,Stare Bemowo,2024-07-05,04:27:18
Metro Politechnika,02,523,Stare Bemowo,2024-07-05,04:29:00
rondo Żaba,02,500,Bródno Podgrodzie,2024-07-05,04:18:58
Rogowska,02,500,Bródno Podgrodzie,2024-07-05,04:19:23
Kołowa,02,500,Bródno Podgrodzie,2024-07-05,04:20:08
Szwedzka,02,190,CH Marki,2024-07-05,04:20:21
Szwedzka,01,190,Os. Górczewska,2024-07-05,04:22:38
Rzeszotarskiej,01,190,Os. Górczewska,2024-07-05,04:23:25
Dw.Wileński,03,190,Os. Górczewska,2024-07-05,04:25:08
Park Praski,01,190,Os. Górczewska,2024-07-05,04:25:43
Stare Miasto,02,190,Os. Górczewska,2024-07-05,04:27:17
Metro Ratusz-Arsenał,10,190,Os. Górczewska,2024-07-05,04:28:43
Kino Femina,02,190,Os. Górczewska,2024-07-05,04:29:28
Wola-Ratusz,02,190,Os. Górczewska,2024-07-05,04:30:45
Ząbkowska,03,26,Wiatraczna,2024-07-05,04:23:34
Kijowska,03,26,Wiatraczna,2024-07-05,04:25:00
Bora-Komorowskiego,01,148,Lotnisko Chopina,2024-07-05,04:28:41
Horbaczewskiego,01,148,Lotnisko Chopina,2024-07-05,04:30:17
Gocław,09,148,Lotnisko Chopina,2024-07-05,04:31:33
most Siekierkowski,03,148,Lotnisko Chopina,2024-07-05,04:32:34
Siekierki-Sanktuarium,01,148,Lotnisko Chopina,2024-07-05,04:34:55
Małe Siekierki,01,148,Lotnisko Chopina,2024-07-05,04:37:34
Ogrody Działkowe Czerniaków,01,148,Lotnisko Chopina,2024-07-05,04:38:10
Berezyńska,01,9,P+R Al. Krakowska,2024-07-05,04:28:15
rondo Waszyngtona,05,9,P+R Al. Krakowska,2024-07-05,04:28:35
most Poniatowskiego,04,9,P+R Al. Krakowska,2024-07-05,04:30:36
Muzeum Narodowe,06,9,P+R Al. Krakowska,2024-07-05,04:33:13
Krucza,06,9,P+R Al. Krakowska,2024-07-05,04:34:13
Centrum,10,9,P+R Al. Krakowska,2024-07-05,04:35:29
Centrum,09,9,Gocławek,2024-07-05,04:29:43
Krucza,05,9,Gocławek,2024-07-05,04:31:14
Muzeum Narodowe,05,9,Gocławek,2024-07-05,04:31:39
most Poniatowskiego,03,9,Gocławek,2024-07-05,04:34:35
rondo Waszyngtona,06,9,Gocławek,2024-07-05,04:36:01
Berezyńska,02,9,Gocławek,2024-07-05,04:37:37
Park Skaryszewski,04,9,Gocławek,2024-07-05,04:39:08
Berezyńska,01,9,P+R Al. Krakowska,2024-07-05,04:34:52
rondo Waszyngtona,05,9,P+R Al. Krakowska,2024-07-05,04:35:37
most Poniatowskiego,04,9,P+R Al. Krakowska,2024-07-05,04:37:28
Muzeum Narodowe,06,9,P+R Al. Krakowska,2024-07-05,04:40:45
Krucza,06,9,P+R Al. Krakowska,2024-07-05,04:41:36
Centrum,10,9,P+R Al. Krakowska,2024-07-05,04:43:22
rondo Żaba,02,500,Bródno Podgrodzie,2024-07-05,04:34:42
Rogowska,02,500,Bródno Podgrodzie,2024-07-05,04:35:43
Kołowa,02,500,Bródno Podgrodzie,2024-07-05,04:36:23
Szwedzka,02,190,CH Marki,2024-07-05,04:38:10
Szwedzka,01,190,Os. Górczewska,2024-07-05,04:38:40
Rzeszotarskiej,01,190,Os. Górczewska,2024-07-05,04:39:30
Dw.Wileński,03,190,Os. Górczewska,2024-07-05,04:42:15
Park Praski,01,190,Os. Górczewska,2024-07-05,04:43:05
Stare Miasto,02,190,Os. Górczewska,2024-07-05,04:45:34
Metro Ratusz-Arsenał,10,190,Os. Górczewska,2024-07-05,04:47:45
Kino Femina,02,190,Os. Górczewska,2024-07-05,04:49:09
Wola-Ratusz,02,190,Os. Górczewska,2024-07-05,04:50:45
most Grota-Roweckiego,02,114,Bródno Podgrodzie,2024-07-05,04:40:50
Żerań FSO,04,114,Bródno Podgrodzie,2024-07-05,04:42:20
PKP Toruńska,02,114,Bródno Podgrodzie,2024-07-05,04:42:59
Bazyliańska,01,114,Bródno Podgrodzie,2024-07-05,04:43:19
Berezyńska,01,9,P+R Al. Krakowska,2024-07-05,04:41:01
rondo Waszyngtona,05,9,P+R Al. Krakowska,2024-07-05,04:42:17
most Poniatowskiego,04,9,P+R Al. Krakowska,2024-07-05,04:43:58
Muzeum Narodowe,06,9,P+R Al. Krakowska,2024-07-05,04:46:14
Krucza,06,9,P+R Al. Krakowska,2024-07-05,04:47:00
Centrum,10,9,P+R Al. Krakowska,2024-07-05,04:48:05
rondo Żaba,02,500,Bródno Podgrodzie,2024-07-05,04:38:08
Rogowska,02,500,Bródno Podgrodzie,2024-07-05,04:41:03
Kołowa,02,500,Bródno Podgrodzie,2024-07-05,04:41:43
