przystanek,nr_przystanku,linia,kierunek,dzień,godzina przyjazdu
Rogowska,01,500,rondo Radosława,2024-06-30,23:29:34
rondo Żaba,02,500,Bródno Podgrodzie,2024-06-30,00:53:25
Rogowska,02,500,Bródno Podgrodzie,2024-06-30,00:53:25
Rogowska,01,500,rondo Radosława,2024-06-30,23:29:34
rondo Żaba,02,500,Bródno Podgrodzie,2024-06-30,00:53:25
Rogowska,02,500,Bródno Podgrodzie,2024-06-30,00:53:25
Rogowska,01,500,rondo Radosława,2024-06-30,23:29:34
rondo Żaba,02,500,Bródno Podgrodzie,2024-06-30,00:53:25
Rogowska,02,500,Bródno Podgrodzie,2024-06-30,00:53:25
Rogowska,01,500,rondo Radosława,2024-06-30,03:39:00
Rogowska,01,500,rondo Radosława,2024-06-30,23:29:34
rondo Żaba,02,500,Bródno Podgrodzie,2024-06-30,03:38:07
Rogowska,02,500,Bródno Podgrodzie,2024-06-30,03:38:07
Rogowska,01,500,rondo Radosława,2024-06-30,03:39:17
Rogowska,01,500,rondo Radosława,2024-06-30,23:29:34
rondo Żaba,02,500,Bródno Podgrodzie,2024-06-30,03:38:07
Rogowska,02,500,Bródno Podgrodzie,2024-06-30,03:38:07
most Grota-Roweckiego,02,114,Bródno Podgrodzie,2024-06-30,04:07:45
Żerań FSO,04,114,Bródno Podgrodzie,2024-06-30,04:08:46
PKP Toruńska,02,114,Bródno Podgrodzie,2024-06-30,04:09:46
Bazyliańska,01,114,Bródno Podgrodzie,2024-06-30,04:10:15
rondo Żaba,02,500,Bródno Podgrodzie,2024-06-30,04:14:16
Rogowska,02,500,Bródno Podgrodzie,2024-06-30,04:15:15
Kołowa,02,500,Bródno Podgrodzie,2024-06-30,04:16:04
Rogowska,01,500,rondo Radosława,2024-06-30,23:29:34
rondo Żaba,02,500,Bródno Podgrodzie,2024-06-30,03:38:07
Rogowska,02,500,Bródno Podgrodzie,2024-06-30,03:38:07
Kijowska,03,26,Wiatraczna,2024-06-30,04:23:46
Berezyńska,01,9,P+R Al. Krakowska,2024-06-30,04:26:50
rondo Waszyngtona,05,9,P+R Al. Krakowska,2024-06-30,04:27:16
most Poniatowskiego,04,9,P+R Al. Krakowska,2024-06-30,04:29:06
Muzeum Narodowe,06,9,P+R Al. Krakowska,2024-06-30,04:32:28
Krucza,06,9,P+R Al. Krakowska,2024-06-30,04:33:14
Centrum,10,9,P+R Al. Krakowska,2024-06-30,04:34:59
Bora-Komorowskiego,01,148,Lotnisko Chopina,2024-06-30,04:30:15
