przystanek,nr_przystanku,linia,kierunek,dzieñ,godzina przyjazdu
Centrum Olimpijskie,02,114,Bródno Podgrodzie,2024-06-22,18:16:44
most Grota-Roweckiego,02,114,Bródno Podgrodzie,2024-06-22,18:18:48
¯erañ FSO,04,114,Bródno Podgrodzie,2024-06-22,18:20:44
PKP Toruñska,02,114,Bródno Podgrodzie,2024-06-22,18:21:50
Bazyliañska,01,114,Bródno Podgrodzie,2024-06-22,18:22:42
Pelcowizna,06,114,UKSW,2024-06-22,18:16:38
PKP Toruñska,01,114,UKSW,2024-06-22,18:17:10
¯erañ FSO,03,114,UKSW,2024-06-22,18:18:13
most Grota-Roweckiego,01,114,UKSW,2024-06-22,18:21:09
Czarnieckiego,02,114,UKSW,2024-06-22,18:24:05
pl.Wilsona,06,114,UKSW,2024-06-22,18:26:51
Suzina,02,114,UKSW,2024-06-22,18:27:57
pl.Wilsona,05,114,Bródno Podgrodzie,2024-06-22,18:30:51
Czarnieckiego,01,114,Bródno Podgrodzie,2024-06-22,18:31:38
Centrum Olimpijskie,02,114,Bródno Podgrodzie,2024-06-22,18:32:48
most Grota-Roweckiego,02,114,Bródno Podgrodzie,2024-06-22,18:35:09
¯erañ FSO,04,114,Bródno Podgrodzie,2024-06-22,18:37:03
PKP Toruñska,02,114,Bródno Podgrodzie,2024-06-22,18:38:22
Bazyliañska,01,114,Bródno Podgrodzie,2024-06-22,18:39:55
Pelcowizna,06,114,UKSW,2024-06-22,18:35:43
PKP Toruñska,01,114,UKSW,2024-06-22,18:37:13
¯erañ FSO,03,114,UKSW,2024-06-22,18:38:13
most Grota-Roweckiego,01,114,UKSW,2024-06-22,18:40:43
Czarnieckiego,02,114,UKSW,2024-06-22,18:44:14
pl.Wilsona,06,114,UKSW,2024-06-22,18:46:44
Suzina,02,114,UKSW,2024-06-22,18:47:14
pl.Wilsona,05,114,Bródno Podgrodzie,2024-06-22,18:51:10
Czarnieckiego,01,114,Bródno Podgrodzie,2024-06-22,18:51:26
Centrum Olimpijskie,02,114,Bródno Podgrodzie,2024-06-22,18:52:29
most Grota-Roweckiego,02,114,Bródno Podgrodzie,2024-06-22,18:53:59
¯erañ FSO,04,114,Bródno Podgrodzie,2024-06-22,18:55:41
PKP Toruñska,02,114,Bródno Podgrodzie,2024-06-22,18:56:54
Bazyliañska,01,114,Bródno Podgrodzie,2024-06-22,18:57:51
Pelcowizna,06,114,UKSW,2024-06-22,18:56:52
PKP Toruñska,01,114,UKSW,2024-06-22,18:57:53
¯erañ FSO,03,114,UKSW,2024-06-22,18:59:16
most Grota-Roweckiego,01,114,UKSW,2024-06-22,19:01:38
Czarnieckiego,02,114,UKSW,2024-06-22,19:04:59
pl.Wilsona,06,114,UKSW,2024-06-22,19:07:06
Suzina,02,114,UKSW,2024-06-22,19:08:08
Pelcowizna,06,114,UKSW,2024-06-22,19:16:54
PKP Toruñska,01,114,UKSW,2024-06-22,19:17:50
¯erañ FSO,03,114,UKSW,2024-06-22,19:19:01
most Grota-Roweckiego,01,114,UKSW,2024-06-22,19:21:30
Czarnieckiego,02,114,UKSW,2024-06-22,19:24:24
pl.Wilsona,06,114,UKSW,2024-06-22,19:26:51
Suzina,02,114,UKSW,2024-06-22,19:28:01
pl.Wilsona,05,114,Bródno Podgrodzie,2024-06-22,19:32:32
Czarnieckiego,01,114,Bródno Podgrodzie,2024-06-22,19:34:02
