przystanek,nr_przystanku,linia,kierunek,dzień,godzina przyjazdu
Pelcowizna,06,114,UKSW,2024-06-18,0
PKP Toruńska,01,114,UKSW,2024-06-18,0
Żerań FSO,03,114,UKSW,2024-06-18,0
most Grota-Roweckiego,01,114,UKSW,2024-06-18,2024-06-18 14:10:19
Czarnieckiego,02,114,UKSW,2024-06-18,2024-06-18 14:13:13
pl.Wilsona,06,114,UKSW,2024-06-18,2024-06-18 14:16:30
Suzina,02,114,UKSW,2024-06-18,2024-06-18 14:17:25
pl.Wilsona,05,114,Bródno Podgrodzie,2024-06-18,2024-06-18 14:10:53
Czarnieckiego,01,114,Bródno Podgrodzie,2024-06-18,2024-06-18 14:11:43
Centrum Olimpijskie,02,114,Bródno Podgrodzie,2024-06-18,2024-06-18 14:12:43
most Grota-Roweckiego,02,114,Bródno Podgrodzie,2024-06-18,2024-06-18 14:14:23
Żerań FSO,04,114,Bródno Podgrodzie,2024-06-18,2024-06-18 14:16:14
PKP Toruńska,02,114,Bródno Podgrodzie,2024-06-18,2024-06-18 14:19:04
Bazyliańska,01,114,Bródno Podgrodzie,2024-06-18,2024-06-18 14:20:34
