przystanek,nr_przystanku,linia,kierunek,dzień,godzina przyjazdu
Siekierki-Sanktuarium,02,148,Wiatraczna,2024-06-26,11:18:14
most Siekierkowski,04,148,Wiatraczna,2024-06-26,11:19:50
Gocław,06,148,Wiatraczna,2024-06-26,11:22:05
Horbaczewskiego,02,148,Wiatraczna,2024-06-26,11:22:51
Bora-Komorowskiego,04,148,Wiatraczna,2024-06-26,11:24:40
Metro Politechnika,02,523,Stare Bemowo,2024-06-26,11:18:25
Wola-Ratusz,01,190,CH Marki,2024-06-26,11:18:20
Kino Femina,01,190,CH Marki,2024-06-26,11:19:44
Metro Ratusz-Arsenał,09,190,CH Marki,2024-06-26,11:22:51
Stare Miasto,01,190,CH Marki,2024-06-26,11:24:42
Park Praski,02,190,CH Marki,2024-06-26,11:26:53
Dw.Wileński,04,190,CH Marki,2024-06-26,11:28:20
Rzeszotarskiej,02,190,CH Marki,2024-06-26,11:29:31
Szwedzka,02,190,CH Marki,2024-06-26,11:30:28
Baseny Inflancka,01,500,Bródno Podgrodzie,2024-06-26,11:18:23
Dw.Gdański,03,500,Bródno Podgrodzie,2024-06-26,11:19:00
rondo Starzyńskiego,02,500,Bródno Podgrodzie,2024-06-26,11:22:38
rondo Żaba,02,500,Bródno Podgrodzie,2024-06-26,11:25:56
Rogowska,02,500,Bródno Podgrodzie,2024-06-26,11:27:29
Kołowa,02,500,Bródno Podgrodzie,2024-06-26,11:28:18
pl.Wilsona,05,114,Bródno Podgrodzie,2024-06-26,11:18:38
Czarnieckiego,01,114,Bródno Podgrodzie,2024-06-26,11:19:35
Centrum Olimpijskie,02,114,Bródno Podgrodzie,2024-06-26,11:20:28
most Grota-Roweckiego,02,114,Bródno Podgrodzie,2024-06-26,11:22:37
Żerań FSO,04,114,Bródno Podgrodzie,2024-06-26,11:24:39
PKP Toruńska,02,114,Bródno Podgrodzie,2024-06-26,11:26:23
Bazyliańska,01,114,Bródno Podgrodzie,2024-06-26,11:27:51
Żerań FSO,03,114,UKSW,2024-06-26,11:18:14
most Grota-Roweckiego,01,114,UKSW,2024-06-26,11:20:26
Czarnieckiego,02,114,UKSW,2024-06-26,11:23:37
pl.Wilsona,06,114,UKSW,2024-06-26,11:27:21
Suzina,02,114,UKSW,2024-06-26,11:28:15
Metro Ratusz-Arsenał,09,26,Wiatraczna,2024-06-26,11:19:50
Stare Miasto,01,26,Wiatraczna,2024-06-26,11:21:26
Park Praski,02,26,Wiatraczna,2024-06-26,11:24:13
Dw.Wileński,07,26,Wiatraczna,2024-06-26,11:27:14
Ząbkowska,03,26,Wiatraczna,2024-06-26,11:29:50
Kijowska,03,26,Wiatraczna,2024-06-26,11:31:36
