przystanek,nr_przystanku,linia,kierunek,dzień,godzina przyjazdu
Bora-Komorowskiego,01,148,Lotnisko Chopina,2024-06-24,18:45:40
Horbaczewskiego,01,148,Lotnisko Chopina,2024-06-24,18:46:52
Gocław,09,148,Lotnisko Chopina,2024-06-24,18:48:10
most Siekierkowski,03,148,Lotnisko Chopina,2024-06-24,18:49:08
Siekierki-Sanktuarium,01,148,Lotnisko Chopina,2024-06-24,18:50:55
Małe Siekierki,01,148,Lotnisko Chopina,2024-06-24,18:52:51
Ogrody Działkowe Czerniaków,01,148,Lotnisko Chopina,2024-06-24,18:53:22
Małe Siekierki,02,148,Wiatraczna,2024-06-24,18:46:07
Siekierki-Sanktuarium,02,148,Wiatraczna,2024-06-24,18:48:08
most Siekierkowski,04,148,Wiatraczna,2024-06-24,18:50:48
Gocław,06,148,Wiatraczna,2024-06-24,18:54:49
Horbaczewskiego,02,148,Wiatraczna,2024-06-24,18:55:49
Bora-Komorowskiego,04,148,Wiatraczna,2024-06-24,18:57:09
Małe Siekierki,02,148,Wiatraczna,2024-06-24,18:46:22
Siekierki-Sanktuarium,02,148,Wiatraczna,2024-06-24,18:48:07
most Siekierkowski,04,148,Wiatraczna,2024-06-24,18:49:49
Gocław,06,148,Wiatraczna,2024-06-24,18:53:10
Horbaczewskiego,02,148,Wiatraczna,2024-06-24,18:53:44
Bora-Komorowskiego,04,148,Wiatraczna,2024-06-24,18:55:09
PKP Powiśle,04,162,Pl Hallera,2024-06-24,18:55:48
Topiel,01,162,Pl Hallera,2024-06-24,18:54:58
Metro Centrum Nauki Kopernik,03,162,Pl Hallera,2024-06-24,18:51:57
most Świętokrzyski,02,162,Pl Hallera,2024-06-24,18:50:37
os.Panieńska,02,162,Pl Hallera,2024-06-24,18:48:58
Sierakowskiego,02,162,Pl Hallera,2024-06-24,18:48:06
Ząbkowska,06,162,Pl Hallera,2024-06-24,18:47:04
Dw.Wileński,02,162,Pl Hallera,2024-06-24,18:45:14
most Świętokrzyski,03,162,EC Siekierki,2024-06-24,18:45:25
Metro Centrum Nauki Kopernik,04,162,EC Siekierki,2024-06-24,18:46:45
Topiel,03,162,EC Siekierki,2024-06-24,18:49:05
PKP Powiśle,03,162,EC Siekierki,2024-06-24,18:50:16
Dw.Wileński,02,162,Pl Hallera,2024-06-24,18:45:23
Rzeszotarskiej,01,190,Os. Górczewska,2024-06-24,18:46:24
Dw.Wileński,03,190,Os. Górczewska,2024-06-24,18:49:43
Park Praski,01,190,Os. Górczewska,2024-06-24,18:51:06
Stare Miasto,02,190,Os. Górczewska,2024-06-24,18:53:22
Metro Ratusz-Arsenał,10,190,Os. Górczewska,2024-06-24,18:55:56
Kino Femina,02,190,Os. Górczewska,2024-06-24,18:57:40
Wola-Ratusz,02,190,Os. Górczewska,2024-06-24,18:59:18
Park Praski,02,190,CH Marki,2024-06-24,18:45:24
Dw.Wileński,04,190,CH Marki,2024-06-24,18:46:15
Rzeszotarskiej,02,190,CH Marki,2024-06-24,18:48:19
Szwedzka,02,190,CH Marki,2024-06-24,18:49:20
Pelcowizna,06,114,UKSW,2024-06-24,18:44:55
PKP Toruńska,01,114,UKSW,2024-06-24,18:45:24
Żerań FSO,03,114,UKSW,2024-06-24,18:46:25
most Grota-Roweckiego,01,114,UKSW,2024-06-24,18:48:55
Czarnieckiego,02,114,UKSW,2024-06-24,18:51:55
pl.Wilsona,06,114,UKSW,2024-06-24,18:54:55
Suzina,02,114,UKSW,2024-06-24,18:55:55
Bazyliańska,01,114,Bródno Podgrodzie,2024-06-24,18:45:25
Park Praski,02,26,Wiatraczna,2024-06-24,18:45:21
Dw.Wileński,07,26,Wiatraczna,2024-06-24,18:47:08
Ząbkowska,03,26,Wiatraczna,2024-06-24,18:49:34
Kijowska,03,26,Wiatraczna,2024-06-24,18:51:05
Centrum,09,9,Gocławek,2024-06-24,18:45:19
Krucza,05,9,Gocławek,2024-06-24,18:45:29
Muzeum Narodowe,05,9,Gocławek,2024-06-24,18:46:19
most Poniatowskiego,03,9,Gocławek,2024-06-24,18:48:54
rondo Waszyngtona,06,9,Gocławek,2024-06-24,18:50:44
Berezyńska,02,9,Gocławek,2024-06-24,18:52:42
Park Skaryszewski,04,9,Gocławek,2024-06-24,18:54:10
Berezyńska,01,9,P+R Al. Krakowska,2024-06-24,18:45:18
rondo Waszyngtona,05,9,P+R Al. Krakowska,2024-06-24,18:46:46
most Poniatowskiego,04,9,P+R Al. Krakowska,2024-06-24,18:48:36
Muzeum Narodowe,06,9,P+R Al. Krakowska,2024-06-24,18:51:35
Krucza,06,9,P+R Al. Krakowska,2024-06-24,18:52:26
Centrum,10,9,P+R Al. Krakowska,2024-06-24,18:55:45
Rogowska,01,500,rondo Radosława,2024-06-24,18:45:36
rondo Żaba,01,500,rondo Radosława,2024-06-24,18:45:36
rondo Starzyńskiego,01,500,rondo Radosława,2024-06-24,18:48:06
Dw.Gdański,04,500,rondo Radosława,2024-06-24,18:50:41
Baseny Inflancka,02,500,rondo Radosława,2024-06-24,18:52:36
"rondo ""Radosława""",04,500,rondo Radosława,2024-06-24,18:56:31
Muzeum Narodowe,02,521,Szczęśliwice,2024-06-24,18:46:04
Centrum,06,521,Szczęśliwice,2024-06-24,18:49:43
Dw.Centralny,02,521,Szczęśliwice,2024-06-24,18:51:41
pl.Zawiszy,04,521,Szczęśliwice,2024-06-24,18:55:46
pl.Hallera,03,6,Gocławek,2024-06-24,18:45:21
Dw.Gdański,06,6,Metro Młociny,2024-06-24,18:45:28
Krucza,06,9,P+R Al. Krakowska,2024-06-24,18:45:24
Centrum,10,9,P+R Al. Krakowska,2024-06-24,18:45:59
Kijowska,04,26,Metro Młociny,2024-06-24,18:45:24
Ząbkowska,04,26,Metro Młociny,2024-06-24,18:46:51
Dw.Wileński,03,26,Metro Młociny,2024-06-24,18:49:15
Park Praski,01,26,Metro Młociny,2024-06-24,18:50:36
Stare Miasto,02,26,Metro Młociny,2024-06-24,18:52:43
Metro Ratusz-Arsenał,10,26,Metro Młociny,2024-06-24,18:54:31
Kino Femina,06,26,Metro Młociny,2024-06-24,18:55:57
Wola-Ratusz,04,26,Metro Młociny,2024-06-24,18:59:07
"rondo ""Radosława""",03,500,Bródno Podgrodzie,2024-06-24,18:47:24
